keyword,cluster,volume_mensile,kd,intento,intento_operativo,mese_picco,aggancio_prodotto,serp_note,fonte_dato
ferie,"Ferie, permessi, malattia, maternita",27100,2,informational,informazionale pura,aprile,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
congedi straordinari legge 104,"Ferie, permessi, malattia, maternita",9900,0,informational,informazionale pura,ottobre,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
maternità facoltativa,"Ferie, permessi, malattia, maternita",9900,0,informational,informazionale pura,gennaio,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
aspettativa non retribuita,"Ferie, permessi, malattia, maternita",8100,0,informational,problema/sintomo,settembre,nessuno,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
obbligatoria maternità,"Ferie, permessi, malattia, maternita",6600,0,informational,informazionale pura,settembre,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
maternità congedo,"Ferie, permessi, malattia, maternita",5400,0,informational,informazionale pura,marzo,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
maternità,"Ferie, permessi, malattia, maternita",4400,0,informational,informazionale pura,gennaio,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
maternità anticipata,"Ferie, permessi, malattia, maternita",2900,0,informational,informazionale pura,ottobre,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
maternità facoltativa 2026,"Ferie, permessi, malattia, maternita",2900,0,transactional,informazionale pura,marzo,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
quanti giorni di ferie si maturano in un mese,"Ferie, permessi, malattia, maternita",2400,0,informational,problema/sintomo,luglio,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
ferie 2026,"Ferie, permessi, malattia, maternita",1900,0,informational,informazionale pura,gennaio,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
ferie non godute,"Ferie, permessi, malattia, maternita",1900,0,informational,informazionale pura,marzo,busta paga,"AI Overview in pos.1. Organico: Dipendenti in Cloud, Lavorosi, Ali Lavoro, Randstad, Facebook PMI.it, buoni-pasto.it, Zeta Service, Moltocomuni (PA), Studio Cassone. Taglio prevalente B2B (obblighi del datore di lavoro): spazio libero per il taglio lato lavoratore.","dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD); serp_organic_live_advanced (SERP)"
maternità assegno,"Ferie, permessi, malattia, maternita",1900,0,informational,informazionale pura,febbraio,busta paga,SERP non controllata,"dataforseo_labs_google_keyword_overview (volume, monthly_searches, intento); dataforseo_labs_bulk_keyword_difficulty (KD)"
